"workerID","rate_chips","mean","chips01","chips02","chips03","chips04","chips05","chips06","chips07","chips08","chips09","chips10","chips11","chips12","chips13","chips14","chips15","chips16","chips17","chips18","chips19","chips20","chips21","chips22","chips23","chips24","chips25","chips26","chips27","chips28","chips29","chips30","chips31","chips32","chips33","chips34","chips35","chips36","chips37","chips38","chips39","chips40","chips41","chips42","chips43","chips44","chips45","chips46","chips47","chips48","chips49","chips50","chips51","chips52","chips53","chips54","chips55","chips56","chips57","chips58","chips59","chips60"
"A168",5,3.71666666666667,3,5,1,5,4,4,3,2,5,5,5,1,2,5,4,3,3,5,3,2,2,5,4,4,5,2,5,3,3,2,3,4,4,4,4,2,3,5,3,5,2,5,5,4,5,4,4,3,3,2,4,4,5,5,4,5,4,5,4,4
"A169",5,3.26666666666667,5,3,2,5,1,4,4,3,3,1,3,3,3,4,5,4,5,4,5,3,3,3,2,5,2,5,4,3,3,3,3,5,1,2,2,3,5,1,3,5,5,1,2,5,3,5,4,3,3,5,5,3,1,5,5,1,1,3,1,2
"A177",4,3.42372881355932,5,3,4,4,2,3,4,3,4,4,3,3,3,4,5,2,4,3,4,3,3,3,3,4,3,5,4,4,2,3,2,4,3,3,3,3,4,2,2,4,4,4,NA,4,4,4,4,3,4,4,4,3,2,4,4,3,3,4,3,3
"A201",5,4.28333333333333,5,5,4,5,2,4,5,3,5,4,5,3,3,5,5,5,5,5,5,3,3,5,4,5,3,4,5,5,3,4,4,5,4,4,3,3,5,2,4,5,4,4,4,5,5,5,4,5,4,5,5,5,4,5,5,4,4,5,4,5
"A202",5,3.15,3,3,3,4,3,4,3,3,3,3,3,4,4,3,2,2,3,3,3,4,3,3,3,3,2,4,4,3,3,4,4,3,2,3,2,4,4,3,4,3,3,4,3,3,2,5,3,4,3,3,3,3,2,4,4,3,2,2,4,2
"A208",5,3.21666666666667,3,2,2,3,1,5,3,2,3,4,4,2,2,4,5,2,5,3,4,2,2,4,2,4,5,5,4,3,2,3,2,4,4,2,5,3,5,1,2,4,3,4,2,4,3,5,3,2,3,3,3,2,4,4,4,4,2,2,4,5
"A247",5,4.56666666666667,5,5,5,5,3,5,5,4,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,1,5,5,5,4,5,5,5,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
"A266",4,3.56666666666667,3,3,5,4,2,4,4,4,3,4,2,4,4,4,4,2,4,3,4,4,4,3,3,4,3,4,3,3,4,5,3,4,4,3,3,5,4,2,4,4,4,4,4,4,3,4,3,3,4,4,4,3,3,4,4,4,4,2,3,3
"A276",5,4.6,5,5,4,5,1,5,5,3,5,5,5,5,2,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
"A285",5,4.38333333333333,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,3,5,5,5,5,3,1,3,5,5,5,5,5,4,5,2,3,2,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,3,4,5,4,2,3,4,4
"A286",5,4.36666666666667,4,4,4,4,4,5,4,4,4,5,5,4,4,4,5,4,4,5,5,4,4,4,3,5,4,5,5,4,4,4,5,5,3,4,2,4,5,4,4,5,5,5,5,5,4,5,5,4,4,5,5,4,5,4,5,4,4,5,5,5
"A290",5,4.11666666666667,3,4,5,4,1,5,5,5,3,4,4,5,5,4,4,3,4,5,5,5,5,4,5,3,4,5,5,4,5,5,3,5,3,3,4,4,5,1,4,5,5,3,3,4,4,5,4,4,4,5,4,4,4,5,4,4,5,3,4,4
"A347",5,2.28333333333333,2,2,1,1,1,2,3,4,2,1,1,2,1,2,4,2,3,3,1,1,4,2,3,2,4,4,2,1,1,4,3,3,1,1,4,4,2,1,1,2,3,2,4,1,2,5,3,2,1,1,3,2,3,1,2,3,4,2,2,3
"A365",5,4.3,5,3,4,4,2,4,3,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,4,3,5,5,5,3,5,4,5,5,4,4,5,5,5,2,4,4,4,5,5,5,3,4,4,3,5,4,4,3,5,4,4,5,5,5,4,5
"A368",5,4.7,5,5,5,5,4,5,5,4,5,5,5,3,4,4,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,4,4,3,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
